Domain,File_Name,Record_Length,Field_Order,Field_Name,Start_Position,End_Position,Length,COBOL_PIC,COBOL_Kind,Decimal_Places,Signed,Target_Spark_Type,Is_Filler,Description
MEMBER,MEMBER.txt,380,1,Member_ID,1,10,10,X(10),X,0,N,string,N,Internal member surrogate key
MEMBER,MEMBER.txt,380,2,Medicaid_ID,11,22,12,X(12),X,0,N,string,N,State-assigned Medicaid ID
MEMBER,MEMBER.txt,380,3,Case_Number,23,32,10,X(10),X,0,N,string,N,Eligibility case number
MEMBER,MEMBER.txt,380,4,SSN,33,41,9,9(9),9,0,N,string,N,Social Security Number
MEMBER,MEMBER.txt,380,5,Last_Name,42,61,20,X(20),X,0,N,string,N,Free-text/coded alphanumeric value.
MEMBER,MEMBER.txt,380,6,First_Name,62,76,15,X(15),X,0,N,string,N,Free-text/coded alphanumeric value.
MEMBER,MEMBER.txt,380,7,Middle_Name,77,91,15,X(15),X,0,N,string,N,may be blank
MEMBER,MEMBER.txt,380,8,Name_Suffix,92,95,4,X(4),X,0,N,string,N,"JR, SR, III etc, may be blank"
MEMBER,MEMBER.txt,380,9,DOB,96,103,8,9(8),9,0,N,date,N,"YYYYMMDD. date in YYYYMMDD format; value of all 9s (e.g. 99999999) means open-ended/not-applicable/pending, map to NULL."
MEMBER,MEMBER.txt,380,10,Gender,104,104,1,X(1),X,0,N,string,N,M/F
MEMBER,MEMBER.txt,380,11,Race_Code,105,106,2,X(2),X,0,N,string,N,CMS race code 01-07
MEMBER,MEMBER.txt,380,12,Ethnicity_Code,107,107,1,X(1),X,0,N,string,N,"H=Hispanic,N=Non-Hispanic,U=Unknown"
MEMBER,MEMBER.txt,380,13,Marital_Status,108,108,1,X(1),X,0,N,string,N,M/S/D/W/U
MEMBER,MEMBER.txt,380,14,Address_Line1,109,138,30,X(30),X,0,N,string,N,Free-text/coded alphanumeric value.
MEMBER,MEMBER.txt,380,15,Address_Line2,139,158,20,X(20),X,0,N,string,N,"apt/unit, may be blank"
MEMBER,MEMBER.txt,380,16,City,159,178,20,X(20),X,0,N,string,N,Free-text/coded alphanumeric value.
MEMBER,MEMBER.txt,380,17,State,179,180,2,X(2),X,0,N,string,N,Free-text/coded alphanumeric value.
MEMBER,MEMBER.txt,380,18,Zip,181,189,9,9(9),9,0,N,string,N,ZIP+4 no dash
MEMBER,MEMBER.txt,380,19,County_Code,190,192,3,X(3),X,0,N,string,N,Free-text/coded alphanumeric value.
MEMBER,MEMBER.txt,380,20,Home_Phone,193,202,10,9(10),9,0,N,string,N,Zero-padded unsigned numeric value.
MEMBER,MEMBER.txt,380,21,Cell_Phone,203,212,10,9(10),9,0,N,string,N,may be zero-filled if none on file
MEMBER,MEMBER.txt,380,22,Email,213,252,40,X(40),X,0,N,string,N,may be blank
MEMBER,MEMBER.txt,380,23,Preferred_Language,253,255,3,X(3),X,0,N,string,N,ISO-ish 3 char code
MEMBER,MEMBER.txt,380,24,Citizenship_Code,256,256,1,X(1),X,0,N,string,N,"1=US Citizen,2=Qualified Alien,3=Non-Qualified"
MEMBER,MEMBER.txt,380,25,Immigration_Status,257,258,2,X(2),X,0,N,string,N,may be blank if citizen
MEMBER,MEMBER.txt,380,26,Aid_Category,259,261,3,X(3),X,0,N,string,N,"TAN,ABD,CHP,MAG,BCC,SSI,WRK"
MEMBER,MEMBER.txt,380,27,Eligibility_Status,262,262,1,X(1),X,0,N,string,N,"A=Active,I=Inactive,P=Pending"
MEMBER,MEMBER.txt,380,28,Eligibility_Start,263,270,8,9(8),9,0,N,date,N,"date in YYYYMMDD format; value of all 9s (e.g. 99999999) means open-ended/not-applicable/pending, map to NULL."
MEMBER,MEMBER.txt,380,29,Eligibility_End,271,278,8,9(8),9,0,N,date,N,"99999999 = open/active. date in YYYYMMDD format; value of all 9s (e.g. 99999999) means open-ended/not-applicable/pending, map to NULL."
MEMBER,MEMBER.txt,380,30,RE_Code,279,282,4,X(4),X,0,N,string,N,Rate/eligibility code for capitation
MEMBER,MEMBER.txt,380,31,MCO_Plan_ID,283,290,8,X(8),X,0,N,string,N,"managed care plan enrollment, may be blank FFS"
MEMBER,MEMBER.txt,380,32,PCP_Provider_ID,291,300,10,X(10),X,0,N,string,N,"assigned PCP, may be blank"
MEMBER,MEMBER.txt,380,33,LOC_Code,301,302,2,X(2),X,0,N,string,N,"Level of Care code, blank if N/A"
MEMBER,MEMBER.txt,380,34,Spenddown_Amount,303,311,9,9(7)V9(2),9,2,N,"decimal(9,2)",N,monthly spenddown liability. 2 implied decimal place(s) -- no literal decimal point in the raw bytes.
MEMBER,MEMBER.txt,380,35,Medicare_ID,312,323,12,X(12),X,0,N,string,N,blank if not dual eligible
MEMBER,MEMBER.txt,380,36,Medicare_Part_A_Ind,324,324,1,X(1),X,0,N,string,N,Y/N
MEMBER,MEMBER.txt,380,37,Medicare_Part_B_Ind,325,325,1,X(1),X,0,N,string,N,Y/N
MEMBER,MEMBER.txt,380,38,Medicare_Part_D_Ind,326,326,1,X(1),X,0,N,string,N,Y/N
