REB0000000000100378211501TRAZODONE 50MG TABLET         00378SANDOZ INC                    2202300021038500000005100001530905100013778145000015309060000309950000202630000107320000150000000002257800000000000YUNIT202406042024080320240624SMLIL20240624GEN          
REB0000000000200186507031AMOXICILLIN 500MG CAPSULE     00186SANDOZ INC                    1202400010562600000046350000907743700008169693000009077440000468980000237490000231490000000000000002445100000022134N    202406282024082720240908NMLIL20240908MMS          
REB0000000000368180051902LOSARTAN 50MG TABLET          68180ELI LILLY AND COMPANY         3202400021167000000020970000476492800004288435000004764930000296210000149880000146330000000000000003097300000029938N    202410152024121499999999IEAIL20241015MMS          
REB0000000000400185006001ALBUTEROL HFA INHALER         00185ABBVIE INC                    1202300020348300000047420000939438800008454949000009394390000191590000127850000063740000000000000001297000000012950N    202405032024070220240628SMLIL20240628MMS          
REB0000000000500093505598AZITHROMYCIN 250MG TABLET     00093NOVARTIS PHARMACEUTICALS      3202300043855200000014970000285865500002572789000002858660000241360000217560000023800000000000000001043700000010212N    202309082023110720231122SMLIL20231122LEG          
REB0000000000600591024701HYDROCODONE-ACET 5-325MG      00591MERCK AND CO INC              1202300008224200000036850001855980100016703820000018559810000231630000122740000108890000000000000000895500000008281N    202310192023121899999999SGMIL20231019GEN          
REB0000000000700591508201OMEPRAZOLE 20MG CAPSULE       00591GLAXOSMITHKLINE LLC           1202300010347000000048520000937012500008433112000009370130000249000000188870000060130000000000000000622100000005601N    202409172024111620241210IGMIL20241210GEN          
REB0000000000800310075590CRESTOR 10MG TABLET           00310SANDOZ INC                    2202400006312400000001050000055340500000498064000000553410000157350000134520000022830000150000000000144100000001365N    202310212023122020231116IEAIL20231116GEN          
REB0000000000900186507031AMOXICILLIN 500MG CAPSULE     00186ABBVIE INC                    2202300033804400000018420000582331000005240979000005823310000272070000239700000032370000000000000001094200000010132N    202312112024020920240206SGMIL20240206MMS          
REB0000000001000093715601METFORMIN 500MG TABLET        00093SANDOZ INC                    1202300009382700000008630000093610700000842496000000936110000141950000083820000058130000000000000000545400000005453N    202303112023051099999999IMLIL20230311MMS          
REB0000000001100378211501TRAZODONE 50MG TABLET         00378BRISTOL-MYERS SQUIBB          2202300044095500000020710001579252100014213268000015792530000445170000280090000165080000150000000007279200000070280N    202304272023062620230620SGMIL20230620GEN          
REB0000000001200093715601METFORMIN 500MG TABLET        00093SANOFI-AVENTIS US LLC         1202300041517700000012530000034511100000310599000000345120000059640000032350000027290000000000000001133000000010886N    202407022024083199999999IMLIL20240702GEN          
REB0000000001300006074928JANUVIA 100MG TABLET          00006ELI LILLY AND COMPANY         1202300034628400000009400001634137600014707238000016341380000124450000091850000032600000000000000001128800000010742N    202304042023060320230517SMLIL20230517LEG          
REB0000000001400003089421ELIQUIS 5MG TABLET            00003ASTRAZENECA PHARMACEUTICALS   3202300043548500000005590000045469200000409222000000454700000111100000066650000044450000000000000001935700000018229N    202307032023090199999999IEAIL20230703MMS          
REB0000000001500074381390HUMALOG 100U/ML VIAL          00074MERCK AND CO INC              3202300039320800000041750001324189600011917706000013241900000244570000159480000085090000000000000003345800000030427N    202410132024121220241108NGMIL20241108LEG          
REB0000000001600054327944PREDNISONE 10MG TABLET        00054SANDOZ INC                    1202300026750500000001250000463997700004175979000004639980000005830000004370000001460000150000000000039000000000372N    202409182024111720241108SEAIL20241108MMS          
